Year,Observation-level footnotes,Series,Value
2017,Countries that have conducted at least one population and housing census in the last 10 years (1 = YES; 0 = NO),Countries that have conducted at least one population and housing census in the last 10 years (1 = YES; 0 = NO) [17.19.2],1
2018,Countries that have conducted at least one population and housing census in the last 10 years (1 = YES; 0 = NO),Countries that have conducted at least one population and housing census in the last 10 years (1 = YES; 0 = NO) [17.19.2],1
2019,Countries that have conducted at least one population and housing census in the last 10 years (1 = YES; 0 = NO),Countries that have conducted at least one population and housing census in the last 10 years (1 = YES; 0 = NO) [17.19.2],1
2020,Countries that have conducted at least one population and housing census in the last 10 years (1 = YES; 0 = NO),Countries that have conducted at least one population and housing census in the last 10 years (1 = YES; 0 = NO) [17.19.2],1
2000,Countries with birth registration data that are at least 90 percent complete (1 = YES; 0 = NO),Countries with birth registration data that are at least 90 percent complete (1 = YES; 0 = NO) [17.19.2],0
2001,Countries with birth registration data that are at least 90 percent complete (1 = YES; 0 = NO),Countries with birth registration data that are at least 90 percent complete (1 = YES; 0 = NO) [17.19.2],0
2002,Countries with birth registration data that are at least 90 percent complete (1 = YES; 0 = NO),Countries with birth registration data that are at least 90 percent complete (1 = YES; 0 = NO) [17.19.2],0
2003,Countries with birth registration data that are at least 90 percent complete (1 = YES; 0 = NO),Countries with birth registration data that are at least 90 percent complete (1 = YES; 0 = NO) [17.19.2],0
2004,Countries with birth registration data that are at least 90 percent complete (1 = YES; 0 = NO),Countries with birth registration data that are at least 90 percent complete (1 = YES; 0 = NO) [17.19.2],0
2005,Countries with birth registration data that are at least 90 percent complete (1 = YES; 0 = NO),Countries with birth registration data that are at least 90 percent complete (1 = YES; 0 = NO) [17.19.2],0
2006,Countries with birth registration data that are at least 90 percent complete (1 = YES; 0 = NO),Countries with birth registration data that are at least 90 percent complete (1 = YES; 0 = NO) [17.19.2],0
2007,Countries with birth registration data that are at least 90 percent complete (1 = YES; 0 = NO),Countries with birth registration data that are at least 90 percent complete (1 = YES; 0 = NO) [17.19.2],0
2008,Countries with birth registration data that are at least 90 percent complete (1 = YES; 0 = NO),Countries with birth registration data that are at least 90 percent complete (1 = YES; 0 = NO) [17.19.2],0
2009,Countries with birth registration data that are at least 90 percent complete (1 = YES; 0 = NO),Countries with birth registration data that are at least 90 percent complete (1 = YES; 0 = NO) [17.19.2],0
2010,Countries with birth registration data that are at least 90 percent complete (1 = YES; 0 = NO),Countries with birth registration data that are at least 90 percent complete (1 = YES; 0 = NO) [17.19.2],0
2011,Countries with birth registration data that are at least 90 percent complete (1 = YES; 0 = NO),Countries with birth registration data that are at least 90 percent complete (1 = YES; 0 = NO) [17.19.2],0
2012,Countries with birth registration data that are at least 90 percent complete (1 = YES; 0 = NO),Countries with birth registration data that are at least 90 percent complete (1 = YES; 0 = NO) [17.19.2],0
2013,Countries with birth registration data that are at least 90 percent complete (1 = YES; 0 = NO),Countries with birth registration data that are at least 90 percent complete (1 = YES; 0 = NO) [17.19.2],0
2014,Countries with birth registration data that are at least 90 percent complete (1 = YES; 0 = NO),Countries with birth registration data that are at least 90 percent complete (1 = YES; 0 = NO) [17.19.2],0
2015,Countries with birth registration data that are at least 90 percent complete (1 = YES; 0 = NO),Countries with birth registration data that are at least 90 percent complete (1 = YES; 0 = NO) [17.19.2],0
2016,Countries with birth registration data that are at least 90 percent complete (1 = YES; 0 = NO),Countries with birth registration data that are at least 90 percent complete (1 = YES; 0 = NO) [17.19.2],0
2017,Countries with birth registration data that are at least 90 percent complete (1 = YES; 0 = NO),Countries with birth registration data that are at least 90 percent complete (1 = YES; 0 = NO) [17.19.2],0
2018,Countries with birth registration data that are at least 90 percent complete (1 = YES; 0 = NO),Countries with birth registration data that are at least 90 percent complete (1 = YES; 0 = NO) [17.19.2],0
2019,Countries with birth registration data that are at least 90 percent complete (1 = YES; 0 = NO),Countries with birth registration data that are at least 90 percent complete (1 = YES; 0 = NO) [17.19.2],0
2020,Countries with birth registration data that are at least 90 percent complete (1 = YES; 0 = NO),Countries with birth registration data that are at least 90 percent complete (1 = YES; 0 = NO) [17.19.2],0
2000,Countries with death registration data that are at least 75 percent complete (1 = YES; 0 = NO),Countries with death registration data that are at least 75 percent complete (1 = YES; 0 = NO) [17.19.2],0
2001,Countries with death registration data that are at least 75 percent complete (1 = YES; 0 = NO),Countries with death registration data that are at least 75 percent complete (1 = YES; 0 = NO) [17.19.2],0
2002,Countries with death registration data that are at least 75 percent complete (1 = YES; 0 = NO),Countries with death registration data that are at least 75 percent complete (1 = YES; 0 = NO) [17.19.2],0
2003,Countries with death registration data that are at least 75 percent complete (1 = YES; 0 = NO),Countries with death registration data that are at least 75 percent complete (1 = YES; 0 = NO) [17.19.2],0
2004,Countries with death registration data that are at least 75 percent complete (1 = YES; 0 = NO),Countries with death registration data that are at least 75 percent complete (1 = YES; 0 = NO) [17.19.2],0
2005,Countries with death registration data that are at least 75 percent complete (1 = YES; 0 = NO),Countries with death registration data that are at least 75 percent complete (1 = YES; 0 = NO) [17.19.2],0
2006,Countries with death registration data that are at least 75 percent complete (1 = YES; 0 = NO),Countries with death registration data that are at least 75 percent complete (1 = YES; 0 = NO) [17.19.2],0
2007,Countries with death registration data that are at least 75 percent complete (1 = YES; 0 = NO),Countries with death registration data that are at least 75 percent complete (1 = YES; 0 = NO) [17.19.2],0
2008,Countries with death registration data that are at least 75 percent complete (1 = YES; 0 = NO),Countries with death registration data that are at least 75 percent complete (1 = YES; 0 = NO) [17.19.2],0
2009,Countries with death registration data that are at least 75 percent complete (1 = YES; 0 = NO),Countries with death registration data that are at least 75 percent complete (1 = YES; 0 = NO) [17.19.2],0
2010,Countries with death registration data that are at least 75 percent complete (1 = YES; 0 = NO),Countries with death registration data that are at least 75 percent complete (1 = YES; 0 = NO) [17.19.2],0
2011,Countries with death registration data that are at least 75 percent complete (1 = YES; 0 = NO),Countries with death registration data that are at least 75 percent complete (1 = YES; 0 = NO) [17.19.2],0
2012,Countries with death registration data that are at least 75 percent complete (1 = YES; 0 = NO),Countries with death registration data that are at least 75 percent complete (1 = YES; 0 = NO) [17.19.2],0
2013,Countries with death registration data that are at least 75 percent complete (1 = YES; 0 = NO),Countries with death registration data that are at least 75 percent complete (1 = YES; 0 = NO) [17.19.2],0
2014,Countries with death registration data that are at least 75 percent complete (1 = YES; 0 = NO),Countries with death registration data that are at least 75 percent complete (1 = YES; 0 = NO) [17.19.2],0
2015,Countries with death registration data that are at least 75 percent complete (1 = YES; 0 = NO),Countries with death registration data that are at least 75 percent complete (1 = YES; 0 = NO) [17.19.2],0
2016,Countries with death registration data that are at least 75 percent complete (1 = YES; 0 = NO),Countries with death registration data that are at least 75 percent complete (1 = YES; 0 = NO) [17.19.2],0
2017,Countries with death registration data that are at least 75 percent complete (1 = YES; 0 = NO),Countries with death registration data that are at least 75 percent complete (1 = YES; 0 = NO) [17.19.2],0
2018,Countries with death registration data that are at least 75 percent complete (1 = YES; 0 = NO),Countries with death registration data that are at least 75 percent complete (1 = YES; 0 = NO) [17.19.2],0
2019,Countries with death registration data that are at least 75 percent complete (1 = YES; 0 = NO),Countries with death registration data that are at least 75 percent complete (1 = YES; 0 = NO) [17.19.2],0
2020,Countries with death registration data that are at least 75 percent complete (1 = YES; 0 = NO),Countries with death registration data that are at least 75 percent complete (1 = YES; 0 = NO) [17.19.2],0
